url,collection,date_iso,status,char_count,turn_count,speaker_count,page_format,validation_flags,scrape_timestamp
https://avalon.law.yale.edu/imt/02-14-46.asp,sessions,1946-02-14,ok,161124,50,11,F2,,2026-03-07T17:24:04.794281+00:00
https://avalon.law.yale.edu/imt/02-15-46.asp,sessions,1946-02-15,ok,149199,60,6,F2,,2026-03-07T17:24:06.605881+00:00
https://avalon.law.yale.edu/imt/02-18-46.asp,sessions,1946-02-18,ok,127134,31,7,F2,,2026-03-07T17:24:08.366070+00:00
https://avalon.law.yale.edu/imt/02-19-46.asp,sessions,1946-02-19,ok,103087,23,3,F2,,2026-03-07T17:24:10.112953+00:00
https://avalon.law.yale.edu/imt/02-20-46.asp,sessions,1946-02-20,ok,134645,17,7,NONE,NO_PAGE_NUMBERS,2026-03-07T17:24:11.908321+00:00
https://avalon.law.yale.edu/imt/02-21-46.asp,sessions,1946-02-21,ok,139676,24,5,F3,,2026-03-07T17:24:13.665495+00:00
https://avalon.law.yale.edu/imt/02-22-46.asp,sessions,1946-02-22,ok,147680,118,14,F3,,2026-03-07T17:24:15.429505+00:00
https://avalon.law.yale.edu/imt/02-23-46.asp,sessions,1946-02-23,ok,116640,302,23,F3,,2026-03-07T17:24:17.180011+00:00
https://avalon.law.yale.edu/imt/02-25-46.asp,sessions,1946-02-25,ok,133624,206,16,F3,,2026-03-07T17:24:19.061114+00:00
https://avalon.law.yale.edu/imt/02-26-46.asp,sessions,1946-02-26,ok,127869,274,29,F3,,2026-03-07T17:24:20.855988+00:00
https://avalon.law.yale.edu/imt/02-27-46.asp,sessions,1946-02-27,ok,136929,315,24,F3,,2026-03-07T17:24:22.635174+00:00
https://avalon.law.yale.edu/imt/02-28-46.asp,sessions,1946-02-28,ok,163586,26,15,F3,,2026-03-07T17:24:24.479901+00:00
https://avalon.law.yale.edu/imt/03-01-46.asp,sessions,1946-03-01,ok,167838,133,18,F3,,2026-03-07T17:24:26.349133+00:00
https://avalon.law.yale.edu/imt/03-02-46.asp,sessions,1946-03-02,ok,62733,70,15,F3,,2026-03-07T17:24:28.126683+00:00
https://avalon.law.yale.edu/imt/03-04-46.asp,sessions,1946-03-04,ok,116579,286,15,F3,,2026-03-07T17:24:30.132589+00:00
https://avalon.law.yale.edu/imt/03-05-46.asp,sessions,1946-03-05,ok,62112,109,10,F3,,2026-03-07T17:24:31.835231+00:00
https://avalon.law.yale.edu/imt/03-08-46.asp,sessions,1946-03-08,ok,145769,697,18,F3,,2026-03-07T17:24:33.771604+00:00
https://avalon.law.yale.edu/imt/03-11-46.asp,sessions,1946-03-11,ok,184809,1060,32,F3,,2026-03-07T17:24:35.589556+00:00
https://avalon.law.yale.edu/imt/03-12-46.asp,sessions,1946-03-12,ok,142376,878,27,F3,,2026-03-07T17:24:37.337476+00:00
https://avalon.law.yale.edu/imt/03-13-46.asp,sessions,1946-03-13,ok,179935,551,22,F3,,2026-03-07T17:24:39.141281+00:00
https://avalon.law.yale.edu/imt/03-14-46.asp,sessions,1946-03-14,ok,159667,72,7,F3,,2026-03-07T17:24:40.805867+00:00
https://avalon.law.yale.edu/imt/03-15-46.asp,sessions,1946-03-15,ok,137318,58,4,F3,,2026-03-07T17:24:42.975689+00:00
https://avalon.law.yale.edu/imt/03-16-46.asp,sessions,1946-03-16,ok,87817,127,20,F3,,2026-03-07T17:24:44.761217+00:00
https://avalon.law.yale.edu/imt/03-18-46.asp,sessions,1946-03-18,ok,161641,290,22,F3,,2026-03-07T17:24:46.575147+00:00
https://avalon.law.yale.edu/imt/03-19-46.asp,sessions,1946-03-19,ok,133598,485,18,F3,,2026-03-07T17:24:48.336535+00:00
https://avalon.law.yale.edu/imt/03-20-46.asp,sessions,1946-03-20,ok,176318,396,10,F3,,2026-03-07T17:24:50.133563+00:00
